name,value
FBtr0309513.1,CR43487
FBtr0309514.1,CR43487
FBtr0078616.1,CG31559
FBtr0078587.1,CG1077
FBtr0078588.1,Osi1
FBtr0345156.1,CR45194
FBtr0344667.1,CR31562
FBtr0308318.1,NPFR
FBtr0078590.1,NPFR
FBtr0308317.1,NPFR
FBtr0308316.1,NPFR
FBtr0078591.1,Osi24
FBtr0310413.1,Osi2
FBtr0078592.1,Osi2
FBtr0078593.1,Osi2
FBtr0078594.1,Osi3
FBtr0310414.1,Osi3
FBtr0334866.1,Osi4
FBtr0078615.1,Osi4
FBtr0302937.1,Osi5
FBtr0078595.1,Osi5
FBtr0346344.1,Osi6
FBtr0078596.1,Osi6
FBtr0078597.1,Osi7
FBtr0078598.1,Osi8
FBtr0078599.1,Osi9
FBtr0078601.1,Osi10
FBtr0078614.1,Osi11
FBtr0078602.1,Osi12
FBtr0302305.1,CG15597
FBtr0078604.1,CG15594
FBtr0078605.1,Osi13
FBtr0078606.1,Osi14
FBtr0078607.1,Osi15
FBtr0078608.1,Osi16
FBtr0347194.1,CG46026
FBtr0078609.1,CG31560
FBtr0334536.1,Osi17
FBtr0334538.1,Osi17
FBtr0078610.1,Osi17
FBtr0334537.1,Osi17
FBtr0078611.1,Osi18
FBtr0081707.1,Osi19
FBtr0301493.1,Osi19
FBtr0081708.1,Osi20
FBtr0081709.1,CG17917
FBtr0081710.1,CG10298
FBtr0081711.1,CG17919
FBtr0081737.1,SmD2
FBtr0081712.1,CG18048
FBtr0081713.1,Hr83
FBtr0334541.1,Pak
FBtr0081714.1,Pak
FBtr0334544.1,Pak
FBtr0081715.1,Pak
FBtr0334542.1,Pak
FBtr0081716.1,Pak
FBtr0334540.1,Pak
FBtr0334543.1,Pak
FBtr0334539.1,Pak
FBtr0345076.1,CG42724
FBtr0303013.1,CG42724
FBtr0345075.1,CG42724
FBtr0334545.1,CG42724
FBtr0303017.1,CG42724
FBtr0303014.1,CG42724
FBtr0303015.1,CG42724
FBtr0081717.1,CG10286
FBtr0110774.1,CG1041
FBtr0347005.1,CG1041
FBtr0081734.1,CG1041
FBtr0344293.1,CG1041
FBtr0301268.1,CG42564
FBtr0309752.1,snoRNA:83E4-5
FBtr0332176.1,CG1024
FBtr0332175.1,CG1024
FBtr0290212.1,CG1024
FBtr0301001.1,CG42537
FBtr0081719.1,TfIIFalpha
FBtr0113198.1,godzilla
FBtr0081720.1,godzilla
FBtr0081721.1,godzilla
FBtr0081722.1,godzilla
FBtr0290326.1,Dmtn
FBtr0289940.1,Dmtn
FBtr0290327.1,Dmtn
FBtr0300261.1,Dmtn
FBtr0289939.1,Dmtn
FBtr0334322.1,gpp
FBtr0303790.1,gpp
FBtr0303787.1,gpp
FBtr0303788.1,gpp
FBtr0303789.1,gpp
FBtr0334323.1,CR44017
FBtr0330193.1,CG9727
FBtr0330192.1,CG9727
FBtr0081730.1,CG9727
FBtr0302383.1,Zif
FBtr0330191.1,Zif
FBtr0081728.1,Zif
FBtr0081729.1,Neurochondrin
FBtr0339333.1,CG15186
FBtr0339332.1,CG15186
FBtr0344704.1,CG15186
FBtr0308037.1,CG15186
FBtr0308038.1,CG15186
FBtr0344269.1,CG15186
FBtr0339334.1,CG15186
FBtr0081674.1,CG15186
FBtr0081672.1,CG15186
FBtr0308039.1,CG15186
FBtr0081673.1,CG15186
FBtr0344268.1,CG15186
FBtr0081706.1,tRNA:M2:83F
FBtr0081675.1,CG15185
FBtr0336453.1,dpr11
FBtr0081704.1,dpr11
FBtr0081676.1,Pif2
FBtr0081705.1,CG1137
FBtr0089748.1,CG2336
FBtr0081703.1,CG1138
FBtr0081679.1,CG31482
FBtr0337024.1,glob2
FBtr0301286.1,glob2
FBtr0337025.1,glob2
FBtr0081701.1,sowi
FBtr0081700.1,CG15177
